year,mean_distance_shore_m,sd_m,data_source,mean_distance_shore_km
2000,109730.0637,23091.13339,directed_fishery,109.7300637
2001,100865.8495,17417.24527,directed_fishery,100.8658495
2002,97528.76069,18896.04486,directed_fishery,97.52876069
2003,109205.8357,30010.19905,directed_fishery,109.2058357
2004,125113.9032,29262.97537,directed_fishery,125.1139032
2005,112132.2105,23294.57737,directed_fishery,112.1322105
2006,157524.3013,34798.17183,directed_fishery,157.5243013
2007,115086.4982,48786.98714,directed_fishery,115.0864982
2008,74975.7685,30422.34752,directed_fishery,74.9757685
2009,76680.87455,28254.18765,directed_fishery,76.68087455
2010,91989.64622,27811.77892,directed_fishery,91.98964622
2011,81830.27812,21287.88707,directed_fishery,81.83027812
2012,67240.17826,16440.09952,directed_fishery,67.24017826
2013,76313.18858,17087.20844,directed_fishery,76.31318858
2014,87452.45278,12514.95347,directed_fishery,87.45245278
2015,98158.85942,15062.0909,directed_fishery,98.15885942
2016,115011.849,13687.45315,directed_fishery,115.011849
2017,97404.37984,24849.01461,directed_fishery,97.40437984
2018,106325.832,19783.63464,directed_fishery,106.325832
2019,123465.0608,20042.42999,directed_fishery,123.4650608
2020,102202.7537,23293.48173,directed_fishery,102.2027537
2021,120286.9321,37949.35846,tagging,120.2869321
2022,117426.3903,38321.67138,tagging,117.4263903
2023,93000.243,11700.76248,directed_fishery,93.000243
