Year,J_sockeye_abun,J_sockeye_SE
1982,,
1983,,
1984,,
1985,,
1986,,
1987,,
1988,,
1989,,
1990,,
1991,,
1992,,
1993,,
1994,,
1995,,
1996,,
1997,,
1998,,
1999,,
2000,,
2001,,
2002,,
2003,68434987,9424784
2004,55911263,7457911
2005,160166156,22684297
2006,22304214,4748225
2007,98756205,26166001
2008,14852095,4229442
2009,22470989,4953651
2010,17380633,5254329
2011,7985487,2443843
2012,22521103,5829481
2013,,
2014,120166333,22277010
2015,,
2016,115917731,16971039
2017,,
2018,216602885,64489754
2019,,
2020,,
2021,,
2022,173570333,41357319
2023,,
