year,beninvert_cpue,pcod_cpue,bottom_temp,cp_extent,mean_ao,recruit_abun,mat_fem_d95,mat_male_d95,juv_sockeye_abun
1980,NA,NA,2.6653543307086616,15639,-1.477666666666667,NA,10827,16441,NA
1981,NA,NA,4.544274809160306,0,-0.6976666666666667,NA,13634,20451,NA
1982,5.94326028494436,2.66411856629317,1.7954545454545454,30075,0.38833333333333336,NA,16441,18045,NA
1983,4.90826344142965,3.25819352308424,3.511851851851852,6416,-0.338,9.50652365272169,14837,20451,NA
1984,6.457547143928,2.63067826139106,2.9775193798449613,16040,-0.5946666666666667,14.157364813344772,5614,13634,NA
1985,4.23583045124764,2.38460533906536,3.0731092436974787,9624,-1.231666666666667,9.48910625461662,10827,17243,NA
1986,4.72247059174878,2.78540593256439,2.16484375,22456,-0.5136666666666666,13.979159887877136,10025,10827,NA
1987,8.77250133354193,2.90185976082773,3.693939393939394,0,-1.4556666666666669,11.615900798056732,9223,16842,NA
1988,9.20156035956644,2.96245574241347,2.702272727272727,15639,-0.33266666666666667,6.943522165750584,7218,17644,NA
1989,8.01286343014929,2.08129308327699,2.734108527131783,14035,2.638333333333333,7.387358211437631,10426,17243,NA
1990,8.81505002945612,1.49556304331899,2.9052083333333334,3208,2.4643333333333333,7.144095355015216,8421,16842,NA
1991,9.21884559768454,1.67212220439799,3.2741935483870965,4411,-0.22666666666666668,5.937730699176274,7619,10426,NA
1992,7.83425775317158,1.96864807449361,2.306666666666666,15639,0.8853333333333334,4.760839953919745,8822,14035,NA
1993,9.38541831479765,2.57223229371294,3.359016393442623,8421,1.481,8.745223727423113,8822,13233,NA
1994,9.46191627074588,3.67643621860329,2.4717557251908397,17243,0.24366666666666667,5.2547405625295935,9223,12030,NA
1995,8.57236027775435,3.34233441481929,1.9533834586466168,24461,0.556,5.038570324657295,8822,11228,NA
1996,9.12028996374259,3.197644620736,3.7792307692307694,4812,-0.84,3.30525665061901,7619,14035,NA
1997,14.0154990896687,1.53104680205082,2.8474074074074074,15639,0.841,8.98789740125439,8421,14035,NA
1998,9.21136027035294,1.79834073396376,3.835384615384615,0,-0.8393333333333333,15.168142288231472,8822,14837,NA
1999,8.47949682245206,1.65467333132609,0.9,38095,-0.3,7.190206297519528,8020,11228,NA
2000,10.344631622848,1.37425830467248,2.215625,23258,0.6316666666666667,6.991029686592318,11629,16441,NA
2001,10.0836790790334,2.20206232562165,3.3044776119402983,4812,-1.0893333333333333,4.216173951161831,9624,16842,NA
2002,11.5115870985671,1.24082900213807,3.571111111111111,802,1.1956666666666669,9.060000891671503,10827,14035,NA
2003,9.25894948219624,1.54249904974776,4.0661654135338345,802,0.19633333333333336,9.532283007801288,10827,14837,68434987
2004,11.4215265512108,1.14680817478776,3.772388059701493,0,-0.9653333333333334,13.755473844552103,9223,12431,55911263
2005,9.95192446172941,0.995028466497882,4.2846153846153845,0,-0.7543333333333333,9.971178905932089,10025,15639,160166156
2006,9.90759436484282,0.869472795396706,2.417910447761194,18446,-0.6433333333333333,7.012773802163818,13634,16842,22304214
2007,9.51297402344894,0.810456353979765,2.122794117647059,27268,0.6363333333333333,9.528685689566563,12832,17243,98756205
2008,8.85415019452565,0.797953849502118,1.6330882352941176,36892,0.7809999999999999,15.303875242086155,13233,15639,14852095
2009,8.33879269275294,1.15946653813835,1.4169117647058824,34887,0.083,11.175126854739194,11629,12030,22470989
2010,9.84564162296329,2.79969596102824,1.7735294117647058,26867,-2.4283333333333332,7.586792373471813,9624,12431,17380633
2011,11.8173773202249,2.72713583751059,2.836764705882353,9223,0.4386666666666666,4.7270582288750775,11629,13634,7985487
2012,12.6413470924466,2.308315102288,1.2205882352941178,38095,0.2603333333333333,4.4210627899891275,9624,14837,22521103
2013,13.8687558927642,2.41049375827953,2.3742647058823527,22456,-1.600666666666667,5.641637005524028,6817,12431,NA
2014,11.0682329213539,2.64625910470871,4.148529411764706,401,0.09366666666666666,10.415529734991788,8822,14837,120166333
2015,10.9263564555868,2.84035908702071,4.490441176470588,0,1.324,4.764691818365028,10025,15639,NA
2016,9.2353595104,2.25105547787576,5.488235294117647,0,-0.3976666666666666,2.554451128131124,12030,18446,115917731
2017,11.2294728092734,1.48338909300706,2.833823529411765,18045,0.8823333333333333,1.8353853166408751,13634,20451,NA
2018,7.18344647811388,1.25601762958165,4.613235294117647,0,-0.36966666666666664,1.6526778875360602,10827,19248,216602885
2019,8.08066356520753,1.22908430842165,5.10514705882353,0,0.8506666666666667,3.221896214945569,15639,18045,NA
2020,NA,NA,NA,NA,2.8256666666666668,NA,NA,NA,NA
2021,8.372757518872,1.26436995021929,3.9235294117647057,0,-0.522,2.7316567599129935,14436,16441,NA
2022,9.7464865282273,1.588908172856,3.103676470588235,8421,0.899,3.191694728034748,12832,18045,173570333
2023,NA,NA,3.116911764705882,8020,0.402,2.3852881490152043,12030,15639,NA
