Year,VESSELS,POTLIFT,CPUE,EXV_P,MEAN_PCT_ALL_VALUE,EXV_R
1980,236,267292,37,NA,NA,NA
1981,177,536646,10,NA,NA,NA
1982,89,140492,4,NA,NA,NA
1983,NA,NA,NA,NA,NA,NA
1984,89,107406,7,NA,NA,NA
1985,125,84443,9.246367372,NA,NA,NA
1986,157,175753,11.85468242,NA,NA,NA
1987,230,220971,9.604613275,NA,NA,NA
1988,200,146179,8.426182967,NA,NA,NA
1989,207,205528,8.112787552,NA,NA,NA
1990,241,262761,11.93244812,NA,NA,NA
1991,300,227555,11.55960537,5.64,22,95.1122
1992,280,206815,5.807746053,8.86,17,70.77178
1993,292,254389,8.864333757,6.56,20,94.44378
1995,NA,NA,NA,NA,NA,NA
1996,197,77081,16.42490367,6.26,26,52.41174
1997,257,91085,14.71802163,4.99,17,43.45768
1998,275,145689,15.38543747,3.97,17,58.411
1999,258,151212,12.74439198,9.33,23,107.51142
2000,244,104056,12.22785808,6.91,27,55.74606
2001,230,66947,19.49894693,6.76,37,56.08112
2002,242,72514,20.66599553,8.68,41,82.33312
2003,250,134515,18.76746831,7.02,41,108.10534
2004,251,97621,23.27556571,6.31,41,94.76292
2005,89,116320,23.75470254,5.75,58,104.15994
2006,81,72775,34.39073858,4.6,48,71.47952
2007,74,113948,27.75201846,5.33,55,107.55766
2008,78,139937,21.91190321,6.05,46,121.69651
2009,70,119261,21.43739362,5.48,48,86.42727
2010,65,132183,18.23193603,8.71,59,128.45484
2011,62,45784,28.35101782,12.53,37,97.56603
2012,64,38842,30.27011997,9.17,26,71.51955
2013,63,46589,27.30844191,7.64,30,65.06309
2014,63,57725,26.42842789,7.47,32,73.77672
2015,64,48763,31.31419314,8.7,36,85.03971
2016,63,33608,38.12169721,10.49,44,88.23912
2017,61,49169,20.28135614,8.83,43,57.83714
2018,55,31975,19.69998436,9.28,34,39.25935
2019,56,35033,15.65712328,9.18,28,34.618
2020,47,21346,21.3277429,8.85,22,23.3751
