STATION,CLAT,CLON,STATION_ID
A01,55,-167.51,A-01
A02,55,-166.93,A-02
A03,55,-166.33,A-03
A04,55,-165.75,A-04
A05,55,-165.15,A-05
A06,55,-164.58,A-06
B01,55.33,-167.55,B-01
B02,55.33,-166.96,B-02
B03,55.33,-166.35,B-03
B04,55.33,-165.78,B-04
B05,55.33,-165.16,B-05
B06,55.33,-164.58,B-06
B07,55.33,-164,B-07
B08,55.33,-163.41,B-08
C01,55.66,-167.58,C-01
C02,55.66,-166.98,C-02
C03,55.66,-166.38,C-03
C04,55.66,-165.8,C-04
C05,55.66,-165.16,C-05
C06,55.66,-164.58,C-06
C07,55.66,-164,C-07
C08,55.66,-163.4,C-08
C09,55.66,-162.83,C-09
C18,55.66,-168.18,C-18
C19,55.71,-168.76,C-19
D01,56,-167.61,D-01
D02,56,-167,D-02
D03,56,-166.4,D-03
D04,56,-165.78,D-04
D05,56,-165.18,D-05
D06,56,-164.58,D-06
D08,56,-163.4,D-08
D09,56,-162.81,D-09
D10,56,-162.23,D-10
D11,56,-161.63,D-11
D18,56,-168.21,D-18
D19,56,-168.74,D-19
D20,56,-169.34,D-20
D21,56,-169.93,D-21
D22,56,-170.53,D-22
E01,56.33,-167.65,E-01
E03,56.33,-166.41,E-03
E04,56.33,-165.8,E-04
E05,56.33,-165.2,E-05
E06,56.33,-164.58,E-06
E07,56.33,-164,E-07
E08,56.33,-163.4,E-08
E09,56.33,-162.8,E-09
E10,56.33,-162.2,E-10
E11,56.33,-161.61,E-11
E12,56.33,-161,E-12
E13,56.33,-160.41,E-13
E18,56.33,-168.25,E-18
E20,56.33,-169.46,E-20
E21,56.33,-170.06,E-21
E22,56.33,-170.68,E-22
E23,56.33,-171.18,E-23
E24,56.33,-171.78,E-24
F01,56.66,-167.66,F-01
F02,56.66,-167.06,F-02
F03,56.66,-166.43,F-03
F04,56.66,-165.83,F-04
F05,56.66,-165.21,F-05
F06,56.66,-164.6,F-06
F07,56.66,-164,F-07
F09,56.66,-162.78,F-09
F10,56.66,-162.18,F-10
F11,56.66,-161.58,F-11
F12,56.66,-160.98,F-12
F13,56.66,-160.36,F-13
F14,56.66,-159.75,F-14
F18,56.66,-168.28,F-18
F19,56.66,-168.9,F-19
F20,56.66,-169.5,F-20
F21,56.66,-170.11,F-21
F22,56.66,-170.73,F-22
F23,56.66,-171.35,F-23
F25,56.66,-172.56,F-25
F26,56.66,-173.06,F-26
G01,57,-167.7,G-01
G02,57,-167.08,G-02
G03,57,-166.46,G-03
G04,57,-165.85,G-04
G05,57,-165.21,G-05
G06,57,-164.6,G-06
G07,57,-164,G-07
G08,57,-163.38,G-08
G09,57,-162.78,G-09
G10,57,-162.16,G-10
G12,57,-160.95,G-12
G13,57,-160.33,G-13
G14,57,-159.71,G-14
G15,57,-159.11,G-15
G18,57,-168.33,G-18
G19,57,-168.95,G-19
G20,57,-169.55,G-20
G21,57,-170.16,G-21
G22,57,-170.78,G-22
G23,57,-171.4,G-23
G24,57,-172.03,G-24
G26,57,-173.25,G-26
H01,57.33,-167.73,H-01
H02,57.33,-167.11,H-02
H03,57.33,-166.48,H-03
H04,57.33,-165.86,H-04
H05,57.33,-165.23,H-05
