SID,SPECIES_NAME,COMMON_NAME,YEAR,VESSEL,STRATUM,HAULJOIN,HAUL,STATION,LATITUDE,LONGITUDE,WTCPUE,NUMCPUE,AREA_FISHED_HA,DATETIME,BOTTOM_DEPTH,BOTTOM_TEMPERATURE,SURFACE_TEMPERATURE
1,,fish egg unid.,2022,94,43,-21563,141,P-23,60.0017,-171.93972,0.0047,,4.8953826,14-Jul-22,65,1.1,7.8
1,,fish egg unid.,2022,94,62,-21652,161,O-26,59.67894,-173.83481,0.0046,,5.045984,19-Jul-22,103,0.6,8.5
10110,Atheresthes stomias,arrowtooth flounder,2022,94,31,-21046,9,F-13,56.65513,-160.37,0.1738,0.9435,4.2395364,1-Jun-22,60,3.8,6
10110,Atheresthes stomias,arrowtooth flounder,2022,94,31,-21047,10,G-13,56.98144,-160.33982,0.8175,1.3373,4.4867284,1-Jun-22,63,3.8,6.3
10110,Atheresthes stomias,arrowtooth flounder,2022,94,31,-21052,19,G-11,57.01258,-161.56909,0.7888,0.8873,4.5078325,3-Jun-22,69,3.3,8
10110,Atheresthes stomias,arrowtooth flounder,2022,94,31,-21053,20,F-11,56.69727,-161.59051,1.8128,2.3767,4.6283048,3-Jun-22,86,3.3,8.3
10110,Atheresthes stomias,arrowtooth flounder,2022,94,31,-21054,21,G-10,57.02285,-162.15144,1.3718,1.0978,4.5546592,4-Jun-22,60,3.7,7.3
10110,Atheresthes stomias,arrowtooth flounder,2022,94,31,-21055,22,F-10,56.69916,-162.16955,4.4426,5.0609,4.5446224,4-Jun-22,71,3.1,7.9
10110,Atheresthes stomias,arrowtooth flounder,2022,94,31,-21056,23,F-09,56.6677,-162.73861,7.8397,10.1677,4.7208472,4-Jun-22,73,3,7.1
10110,Atheresthes stomias,arrowtooth flounder,2022,94,31,-21057,24,G-09,56.98481,-162.77374,1.0818,1.4996,4.6680356,4-Jun-22,60,3.1,6.8
10110,Atheresthes stomias,arrowtooth flounder,2022,94,10,-21063,25,H-09,57.3325,-162.75388,0.8319,0.4503,4.4416072,5-Jun-22,50,3.4,6.2
10110,Atheresthes stomias,arrowtooth flounder,2022,94,31,-21098,37,H-06,57.36227,-164.62111,0.068,0.2062,4.8501376,8-Jun-22,65,1,7.5
10110,Atheresthes stomias,arrowtooth flounder,2022,94,31,-21115,44,G-08,57.02731,-163.41498,0.7705,1.1528,5.2045752,10-Jun-22,67,2.1,7.9
10110,Atheresthes stomias,arrowtooth flounder,2022,94,31,-21116,45,G-07,57.02233,-164.02702,0.8591,1.6209,4.9354077,10-Jun-22,68,2.4,8
