t,year,month,day,fracbelow2_sebs,fracbelow1_sebs,fracbelow0_sebs,btemp_sebs,fracbelow2_nebs,fracbelow1_nebs,fracbelow0_nebs,btemp_nebs,btemp_bbrkc,btemp_smbkc,isjuly1
1/18/1970 12:00,1970,1,18,0.688107456,0.55458202,0.385272725,0.903674051,0.980001065,0.88748613,0.670180044,-0.763558654,1.069634606,-0.019607247,FALSE
1/25/1970 12:00,1970,1,25,0.729794909,0.60754711,0.441321724,0.617332205,0.979599352,0.924473439,0.705394154,-0.875887178,0.464112674,-0.074687045,FALSE
2/1/1970 12:00,1970,2,1,0.759888998,0.633928442,0.465295185,0.469124083,0.976941556,0.932602897,0.758667867,-0.993645321,0.206063286,-0.088304664,FALSE
2/8/1970 12:00,1970,2,8,0.785299139,0.648351332,0.490310091,0.362642419,0.976183353,0.930350196,0.772488805,-1.079921881,-0.014764874,-0.063188111,FALSE
2/15/1970 12:00,1970,2,15,0.755497921,0.617675053,0.454353304,0.561334659,0.971256695,0.928089691,0.817877415,-1.18377546,0.229165898,0.111804061,FALSE
2/22/1970 12:00,1970,2,22,0.740927937,0.599210347,0.428279096,0.673475664,0.968988328,0.922441308,0.813005911,-1.180397972,0.400190077,0.2723205,FALSE
3/1/1970 12:00,1970,3,1,0.717952348,0.577048255,0.398002878,0.786092904,0.967851441,0.921696843,0.827966466,-1.202116079,0.54735008,0.450565715,FALSE
3/8/1970 12:00,1970,3,8,0.773816065,0.621998635,0.454867319,0.520641907,0.970503278,0.926642992,0.831428994,-1.213056363,0.269388184,0.168163329,FALSE
3/15/1970 12:00,1970,3,15,0.781645777,0.630842374,0.452547295,0.494700189,0.97277579,0.927410895,0.833334415,-1.21986612,0.305607595,0.013618473,FALSE
3/22/1970 12:00,1970,3,22,0.777704086,0.623251406,0.431702502,0.566206633,0.96709269,0.921747313,0.824331278,-1.190277038,0.469936879,0.017600181,FALSE
3/29/1970 12:00,1970,3,29,0.781069546,0.608874362,0.417679487,0.613667107,0.966336354,0.920973623,0.813808441,-1.154824154,0.599131771,0.021769442,FALSE
4/5/1970 12:00,1970,4,5,0.792027993,0.621566265,0.432886386,0.536509921,0.966714541,0.9213294,0.802556307,-1.11084103,0.493319404,0.011589538,FALSE
4/12/1970 12:00,1970,4,12,0.802386662,0.628815886,0.445519387,0.456041254,0.969364578,0.917934316,0.77274503,-1.014833494,0.453187375,-0.107311518,FALSE
4/19/1970 12:00,1970,4,19,0.778737726,0.573340512,0.384594497,0.650550042,0.963303376,0.91828225,0.768983027,-0.982427517,0.803433922,-0.084841997,FALSE
4/26/1970 12:00,1970,4,26,0.747394159,0.539673405,0.360506798,0.785054686,0.956119091,0.90772808,0.762913304,-0.918900561,1.034222391,0.018227002,FALSE
5/3/1970 12:00,1970,5,3,0.721433292,0.48350992,0.338595425,0.902342035,0.962924737,0.907018189,0.748491472,-0.84810581,1.253719635,-0.041640864,FALSE
5/10/1970 12:00,1970,5,10,0.665055074,0.458576278,0.322681549,1.029652325,0.965575275,0.901835437,0.730486144,-0.671657627,1.484288664,-0.075235371,FALSE
