YEAR,INDICATOR_NAME,DATA_VALUE,DATA_SOURCE_NAME,DATABASE_NAME,PRODUCT,PRODUCT_DESCRIPTION,INDICATOR_TYPE,CATEGORY,CONTACT,FREQUENCY,AKFIN,ESR,PRELIMINARY,REPORT_CARD_TITLE,INTENDED_ESP_NAME,SUBMISSION_YEAR,GATE1_YEAR,GATE2_YEAR,REMOVED_YEAR,SIGN,WEIGHT,UNITS,INDICATOR_ORDER,REGION,TIME_START,TIME_END,STATUS_TRENDS,INFLUENTIAL_FACTORS,REFERENCE,DATA_SOURCE_DESCRIPTION
2020,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,47,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,Vessels active in fishery: Annual count of crab vessels that delivered commercial landings of BBRKC to processors.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual number of active vessels in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,# Vessels,19,NA,NA,NA,NA,NA,NA,NA
2019,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,56,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,Vessels active in fishery: Annual count of crab vessels that delivered commercial landings of BBRKC to processors.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual number of active vessels in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,# Vessels,19,NA,NA,NA,NA,NA,NA,NA
2018,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,55,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,Vessels active in fishery: Annual count of crab vessels that delivered commercial landings of BBRKC to processors.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual number of active vessels in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,# Vessels,19,NA,NA,NA,NA,NA,NA,NA
2017,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,61,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,Vessels active in fishery: Annual count of crab vessels that delivered commercial landings of BBRKC to processors.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual number of active vessels in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,# Vessels,19,NA,NA,NA,NA,NA,NA,NA
2016,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,63,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,Vessels active in fishery: Annual count of crab vessels that delivered commercial landings of BBRKC to processors.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual number of active vessels in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,# Vessels,19,NA,NA,NA,NA,NA,NA,NA
2015,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,64,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,Vessels active in fishery: Annual count of crab vessels that delivered commercial landings of BBRKC to processors.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual number of active vessels in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,# Vessels,19,NA,NA,NA,NA,NA,NA,NA
2014,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,63,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,Vessels active in fishery: Annual count of crab vessels that delivered commercial landings of BBRKC to processors.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual number of active vessels in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,# Vessels,19,NA,NA,NA,NA,NA,NA,NA
2013,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,63,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,Vessels active in fishery: Annual count of crab vessels that delivered commercial landings of BBRKC to processors.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual number of active vessels in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,# Vessels,19,NA,NA,NA,NA,NA,NA,NA
2012,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,64,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,Vessels active in fishery: Annual count of crab vessels that delivered commercial landings of BBRKC to processors.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual number of active vessels in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,# Vessels,19,NA,NA,NA,NA,NA,NA,NA
2011,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,62,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,Vessels active in fishery: Annual count of crab vessels that delivered commercial landings of BBRKC to processors.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual number of active vessels in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,# Vessels,19,NA,NA,NA,NA,NA,NA,NA
