YEAR,INDICATOR_NAME,DATA_VALUE
1970,Spring_pH_BBRKC_Model,7.9898
1971,Spring_pH_BBRKC_Model,8.0034
1972,Spring_pH_BBRKC_Model,7.9897
1973,Spring_pH_BBRKC_Model,8.0228
1974,Spring_pH_BBRKC_Model,8.0243
1975,Spring_pH_BBRKC_Model,8.022
1976,Spring_pH_BBRKC_Model,8.0246
1977,Spring_pH_BBRKC_Model,8.0174
1978,Spring_pH_BBRKC_Model,8.0182
1979,Spring_pH_BBRKC_Model,8.0144
1980,Spring_pH_BBRKC_Model,8.0293
1981,Spring_pH_BBRKC_Model,7.9997
1982,Spring_pH_BBRKC_Model,8.0123
1983,Spring_pH_BBRKC_Model,8.009
1984,Spring_pH_BBRKC_Model,8.0111
1985,Spring_pH_BBRKC_Model,8.0095
1986,Spring_pH_BBRKC_Model,8.0015
1987,Spring_pH_BBRKC_Model,7.9946
1988,Spring_pH_BBRKC_Model,8.0026
1989,Spring_pH_BBRKC_Model,7.999
1990,Spring_pH_BBRKC_Model,7.9989
1991,Spring_pH_BBRKC_Model,8.0036
1992,Spring_pH_BBRKC_Model,8.0004
1993,Spring_pH_BBRKC_Model,7.9893
1994,Spring_pH_BBRKC_Model,7.9961
1995,Spring_pH_BBRKC_Model,7.9969
1996,Spring_pH_BBRKC_Model,7.9722
1997,Spring_pH_BBRKC_Model,7.9831
1998,Spring_pH_BBRKC_Model,7.9745
1999,Spring_pH_BBRKC_Model,7.9789
2000,Spring_pH_BBRKC_Model,7.9589
2001,Spring_pH_BBRKC_Model,7.9622
2002,Spring_pH_BBRKC_Model,7.9714
2003,Spring_pH_BBRKC_Model,7.9507
2004,Spring_pH_BBRKC_Model,7.9623
2005,Spring_pH_BBRKC_Model,7.9515
2006,Spring_pH_BBRKC_Model,7.9608
2007,Spring_pH_BBRKC_Model,7.9371
2008,Spring_pH_BBRKC_Model,7.9352
2009,Spring_pH_BBRKC_Model,7.933
2010,Spring_pH_BBRKC_Model,7.9458
2011,Spring_pH_BBRKC_Model,7.937
2012,Spring_pH_BBRKC_Model,7.9461
2013,Spring_pH_BBRKC_Model,7.9022
2014,Spring_pH_BBRKC_Model,7.8994
2015,Spring_pH_BBRKC_Model,7.9351
2016,Spring_pH_BBRKC_Model,7.9337
2017,Spring_pH_BBRKC_Model,7.9482
2018,Spring_pH_BBRKC_Model,7.906
2019,Spring_pH_BBRKC_Model,7.9065
2020,Spring_pH_BBRKC_Model,7.9194
2021,Spring_pH_BBRKC_Model,7.9081
2022,Spring_pH_BBRKC_Model,7.8968
