Protected ,Not_protected,Protected_closure,Not_protected_closure
E-07,A-02,E-07,A-02
E-08,A-03,E-08,A-03
E-09,A-04,E-09,A-04
E-10,A-05,E-10,A-05
E-11,A-06,E-11,A-06
E-12,B-01,E-12,B-01
F-07,B-02,F-07,B-02
F-08,B-03,F-08,B-03
F-09,B-04,F-09,B-04
F-10,B-05,F-10,B-05
F-11,B-06,F-11,B-06
F-12,B-07,F-12,B-07
F-13,B-08,F-13,B-08
G-08,C-01,G-08,C-01
G-09,C-02,G-09,C-02
G-10,C-03,G-10,C-03
G-11,C-04,G-11,C-04
G-12,C-05,G-12,C-05
G-14,C-06,G-14,C-06
H-11,C-07,H-11,C-07
H-12,C-08,H-12,C-08
I-11,C-09,I-11,C-09
I-12,D-01,I-12,D-01
J-11,D-02,J-11,D-02
J-12,D-03,J-12,D-03
K-11,D-04,K-11,D-04
K-12,D-05,K-12,D-05
,D-06,D-08,D-06
,D-07,D-09,D-07
,D-08,D-10,E-01
,D-09,,E-02
,D-10,,E-03
,E-01,,E-04
,E-02,,E-05
,E-03,,E-06
,E-04,,F-01
,E-05,,F-02
,E-06,,F-03
,F-01,,F-04
,F-02,,F-05
,F-03,,F-06
,F-04,,F-14
,F-05,,G-01
,F-06,,G-02
,F-14,,G-03
,G-01,,G-04
,G-02,,G-05
,G-03,,G-06
,G-04,,G-07
,G-05,,G-13
,G-06,,G-15
,G-07,,H-01
,G-13,,H-02
,G-15,,H-03
,H-01,,H-04
,H-02,,H-05
,H-03,,H-06
,H-04,,H-07
,H-05,,H-08
,H-06,,H-09
,H-07,,H-10
,H-08,,H-13
,H-09,,H-14
,H-10,,H-15
,H-13,,H-16
,H-14,,I-01
,H-15,,I-02
,H-16,,I-03
,I-01,,I-04
,I-02,,I-05
,I-03,,I-06
,I-04,,I-07
,I-05,,I-08
,I-06,,I-09
,I-07,,I-10
,I-08,,I-13
,I-09,,I-14
,I-10,,I-15
,I-13,,I-16
,I-14,,J-01
,I-15,,J-02
,I-16,,J-03
,J-01,,J-04
,J-02,,J-05
,J-03,,J-06
,J-04,,J-07
,J-05,,J-08
,J-06,,J-09
,J-07,,J-10
,J-08,,J-13
,J-09,,J-14
,J-10,,J-15
,J-13,,J-16
,J-14,,K-01
,J-15,,K-02
,J-16,,K-03
,K-01,,K-04
,K-02,,K-05
,K-03,,K-06
,K-04,,K-07
,K-05,,K-08
,K-06,,K-09
,K-07,,K-10
,K-08,,K-13
,K-09,,K-14
,K-10,,Z-05
,K-13,,
,K-14,,
,Z-05,,
