stock,question,number_responses,response,
bbrkc,perceived_abundance,7,10_25_increase,
bbrkc,perceived_abundance,14,25_plus_increase,
bbrkc,perceived_abundance,0,25_plus_decrease,
bbrkc,perceived_abundance,1,10_25_decrease,
bbrkc,perceived_abundance,4,no_change,
bbrkc,fishing_practice,16,no_change,
bbrkc,fishing_practice,2,shorter_soak,
bbrkc,fishing_practice,3,longer_soak,
bbrkc,fishing_practice,1,move_location,
bbrkc,fishing_practice,3,increase_communication,
bbrkc,fishing_practice,1,more_test_pots,
bbrkc,fishing_practice,1,less_test_pots,
bbrkc,reason_change,1,low_cpue,
bbrkc,reason_change,9,high_cpue,
bbrkc,reason_change,3,high_discard,
bbrkc,reason_change,14,no_change,
snow,perceived_abundance,4,10_25_increase,
snow,perceived_abundance,6,25_plus_increase,
snow,perceived_abundance,4,no_change,
snow,perceived_abundance,1,25_plus_decrease,
snow,perceived_abundance,2,10_25_decrease,
snow,fishing_practice,5,no_change,
snow,fishing_practice,1,longer_soak,
snow,fishing_practice,5,move_location,
snow,fishing_practice,6,move_south,
snow,fishing_practice,2,move_deeper,
snow,reason_change,1,low_cpue,
snow,reason_change,6,high_sorting,
snow,reason_change,2,undesirable_crab,
snow,reason_change,1,trawlers,
snow,reason_change,0,no_change,
snow,reason_change,9,weather_ice,
,,,,
