"","YEAR","mature_female","mature_male"
"1","1975",8822,16842
"2","1976",12431,18045
"3","1977",14035,20451
"4","1978",13233,20451
"5","1979",14436,18446
"6","1980",10827,16441
"7","1981",13634,20451
"8","1982",16441,18045
"9","1983",14837,20451
"10","1984",5614,13634
"11","1985",10827,17243
"12","1986",10025,10827
"13","1987",9223,16842
"14","1988",7218,17644
"15","1989",10426,17243
"16","1990",8421,16842
"17","1991",7619,10426
"18","1992",8822,14035
"19","1993",8822,13233
"20","1994",9223,12030
"21","1995",8822,11228
"22","1996",7619,14035
"23","1997",8421,14035
"24","1998",8822,14837
"25","1999",8020,11228
"26","2000",11629,16441
"27","2001",9624,16842
"28","2002",10827,14035
"29","2003",10827,14837
"30","2004",9223,12431
"31","2005",10025,15639
"32","2006",13634,16842
"33","2007",12832,17243
"34","2008",13233,15639
"35","2009",11629,12030
"36","2010",9624,12431
"37","2011",11629,13634
"38","2012",9624,14837
"39","2013",6817,12431
"40","2014",8822,14837
"41","2015",10025,15639
"42","2016",12030,18446
"43","2017",13634,20451
"44","2018",10827,19248
"45","2019",15639,18045
"46","2021",14436,16441
"47","2022",12832,18045
"48","2023",12030,15639
