"","YEAR","Prop_empty"
"1",1975,31.3658721150208
"2",1976,27.697696422367
"3",1977,7.16833095577746
"4",1978,11.8649517684887
"5",1979,0.681431005110733
"6",1980,37.1779456870157
"7",1981,7.12830957230142
"8",1982,1.87074829931973
"9",1983,3.26530612244898
"10",1984,5.9248918232133
"11",1985,5.94795539033457
"12",1986,18.6991869918699
"13",1987,0.341296928327645
"14",1988,0.801970537847957
"15",1989,6.90909090909091
"16",1990,0.562864032312898
"17",1991,0.827177752227176
"18",1992,4.66101694915254
"19",1993,0
"20",1994,0
"21",1995,1.96078431372549
"22",1996,0
"23",1997,0.617283950617284
"24",1998,0.186923382255232
"25",1999,0.196078431372549
"26",2000,0
"27",2001,0
"28",2002,1.68838872561545
"29",2003,0
"30",2004,1.00781205368957
"31",2005,0
"32",2006,0
"33",2007,0
"34",2008,0.189933523266857
"35",2009,0.113250283125708
"36",2010,0
"37",2011,5.7919621749409
"38",2012,0
"39",2013,3.7037037037037
"40",2014,0
"41",2015,0.165016501650165
"42",2016,0
"43",2017,0
"44",2018,2.63157894736842
"45",2019,0.735294117647059
"46",2020,NA
"47",2021,0
"48",2022,2.77777777777778
"49",2023,1.10803324099723
"50",2024,3.79746835443038
