YEAR,summer_bt,cpa,Mean_AO
1979,5.677952755905512,0,-1.2478666666666667
1980,2.6653543307086616,15639,-1.4775666666666667
1981,4.544274809160306,0,-0.6975333333333333
1982,1.7954545454545454,30075,0.38820000000000005
1983,3.511851851851852,6416,-0.3379666666666667
1984,2.9775193798449613,16040,-0.5945666666666667
1985,3.0731092436974787,9624,-1.2313666666666667
1986,2.16484375,22456,-0.5136333333333334
1987,3.693939393939394,0,-1.4557666666666667
1988,2.702272727272727,15639,-0.3328666666666667
1989,2.734108527131783,14035,2.638533333333333
1990,2.9052083333333334,3208,2.4641
1991,3.2741935483870965,4411,-0.22653333333333336
1992,2.3066666666666666,15639,0.8853
1993,3.359016393442623,8421,1.4813999999999998
1994,2.4717557251908397,17243,0.24386666666666665
1995,1.9533834586466166,24461,0.5561
1996,3.7792307692307694,4812,-0.8401333333333333
1997,2.8474074074074074,15639,0.8409
1998,3.835384615384615,0,-0.8394
1999,0.9,38095,-0.2997
2000,2.215625,23258,0.6315333333333334
2001,3.3044776119402983,4812,-1.0892333333333333
2002,3.571111111111111,802,1.1956
2003,4.0661654135338345,802,0.1963666666666667
2004,3.7723880597014925,0,-0.9654
2005,4.2846153846153845,0,-0.7541
2006,2.417910447761194,18446,-0.6433666666666666
2007,2.122794117647059,27268,0.6363333333333333
2008,1.6330882352941176,36892,0.7809
2009,1.4169117647058824,34887,0.08293333333333332
2010,1.7735294117647058,26867,-2.4282
2011,2.836764705882353,9223,0.4387999999999999
2012,1.2205882352941178,38095,0.26036666666666664
2013,2.3742647058823527,22456,-1.6007666666666667
2014,4.148529411764706,401,0.09359999999999999
2015,4.490441176470588,0,1.3238666666666665
2016,5.488235294117647,0,-0.39733333333333337
2017,2.833823529411765,18045,0.8824333333333333
2018,4.613235294117647,0,-0.36973333333333336
2019,5.10514705882353,0,0.8508
2021,3.9235294117647057,0,-0.5217
2022,3.103676470588235,8421,0.8856
2020,NA,NA,2.8258666666666667
